,,,5200,5201,5202,5203,5204,5205,5206,5207,5208,5209,5210,5211,5212,5213,5214,5215,5216,5217,5218
Left,ArmReach,Position,0.85,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,0.85
Left,ArmReach,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ArmReach,Position,0.85,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,0.85
Right,ArmReach,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,HandElevation,Position,-0.5,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.5
Left,HandElevation,Weight,1,1,1,1,0.75,1,1,0.5,0.5,1,1,1,0.75,1,1,0.5,0.5,0.5,1
Right,HandElevation,Position,-0.5,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.5
Right,HandElevation,Weight,1,1,1,1,0.75,1,1,0.5,0.5,1,1,1,0.75,1,1,0.5,0.5,0.5,1
Left,HandPitch,Position,-0.9,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Left,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,HandPitch,Position,-0.9,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Right,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,ShoulderYaw,Position,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.4
Left,ShoulderYaw,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ShoulderYaw,Position,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.4
Right,ShoulderYaw,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,touch down,,,,touch up,,,,touch down,,,,touch up,,,,touch down, 
