,,,1200,1201,1202,1203,1204,1205,1206,1207,1208,1209,1210,1211,1212,1213,1214,1215,1216,1217,1218
Left,ArmReach,Position,0.85,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,0.85
Left,ArmReach,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ArmReach,Position,0.85,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,0.85
Right,ArmReach,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,HandElevation,Position,-0.5,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.5
Left,HandElevation,Weight,1,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,1
Right,HandElevation,Position,-0.5,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.5
Right,HandElevation,Weight,1,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,1
Left,HandPitch,Position,-0.9,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Left,HandPitch,Weight,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1
Right,HandPitch,Position,-0.9,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Right,HandPitch,Weight,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1
Left,ShoulderYaw,Position,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.4
Left,ShoulderYaw,Weight,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ShoulderYaw,Position,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.4
Right,ShoulderYaw,Weight,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,touch down,,,,touch up,,,,touch down,,,,touch up,,,,touch down, 
