inSimTime,inFidelity,trLaserOutputY,trLaserOutputX
0,0.01881226,-407.99919421,-0.24641011
0.002,0.01880622,-415.99838868,-0.24109785
0.004,0.01791944,-423.99524238,-0.23497408
0.006,0.01749157,-431.98962604,-0.22830646
0.008,0.01729217,-439.98038386,-0.22110405
0.01,0.01769666,-447.96637281,-0.21329535
0.012,0.0192842,-455.94675586,-0.20480161
0.014,0.0229101,-463.92119716,-0.19556315
0.016,0.02977838,-471.88974124,-0.18554927
0.018,0.04149028,-479.85228011,-0.17476346
0.02,0.06011348,-487.80763951,-0.16324746
0.022,0.08829148,-495.75216558,-0.15108384
0.024,0.12928278,-503.67696977,-0.1383965
0.026,0.18666139,-511.56098866,-0.12534826
0.028,0.26336408,-519.35103637,-0.11213472
0.03,0.36001254,-526.90131904,-0.09897459
0.032,0.47303672,-533.79904466,-0.08609682
0.034,0.59384612,-539.03050351,-0.07372536
0.036,0.71023731,-541.21598856,-0.06206267
0.038,0.81020728,-540.31323511,-0.0512735
0.04,0.88650037,-537.49012677,-0.04147212
0.042,0.93844132,-533.70251526,-0.03271694
0.044,0.97010802,-529.53681371,-0.02501296
0.046,0.9872971,-525.37888104,-0.01831993
0.048,0.99536426,-521.5140507,-0.01256138
0.05,0.99838943,-518.15752011,-0.0076319
0.052,0.99912298,-515.44295419,-0.00340363
