inSimTime,inFidelity,trLaserOutputY,trLaserOutputX
0,0,-409.99991731,0.49345472
0.002,0,-419.99983465,0.48856959
0.004,0,-429.99939468,0.48062879
0.006,0,-439.99854091,0.47316442
0.008,0,-449.99701135,0.46352976
0.01,0,-459.99476118,0.45328772
0.012,0,-469.99186443,0.44096192
0.014,0,-479.98889125,0.42723417
0.016,0,-489.98634058,0.41130854
0.018,0.00000001,-499.98458726,0.39351072
0.02,0.00000004,-509.98356622,0.37346968
0.022,0.00000006,-519.98305281,0.35141677
0.024,0.00000003,-529.98281162,0.32727214
0.026,0.00000002,-539.98269862,0.30129159
0.028,0.00000027,-549.98264066,0.27360386
0.03,0.00000138,-559.98260514,0.24453462
0.032,0.00000632,-569.98257651,0.21437306
0.034,0.00003392,-579.98254327,0.18353354
0.036,0.00019101,-589.98248327,0.15243205
0.038,0.00099689,-599.9823066,0.12155455
0.04,0.00455815,-609.98145467,0.09137454
0.042,0.01743928,-619.97887716,0.06236725
0.044,0.05344083,-629.96800217,0.03492455
0.046,0.13043914,-639.91135868,0.00938095
0.048,0.25645423,-649.59122669,-0.01401712
0.05,0.41775154,-657.89665669,-0.03507681
0.052,0.58610582,-661.36658311,-0.05365968
0.054,0.73530647,-657.61153425,-0.06967147
0.056,0.84974017,-649.77152986,-0.08308151
0.058,0.92592407,-640.55217719,-0.09392884
0.06,0.96987926,-630.89470515,-0.10232286
0.062,0.99119691,-621.08273903,-0.10842712
0.064,0.99832178,-611.20964572,-0.11245287
