inSimTime,inFidelity,trLaserOutputY,trLaserOutputX
0,0.00000002,-404.99050371,0.34705091
0.002,0.00000002,-409.98100875,0.34289262
0.004,0.00000002,-414.9676766,0.3378134
0.006,0.00000001,-419.95230114,0.33195616
0.008,0.00000001,-424.93501886,0.32531581
0.01,0.00000001,-429.91616103,0.31779633
0.012,0.00000001,-434.89625853,0.30925677
0.014,0.00000001,-439.87601244,0.29954395
0.016,0,-444.85621178,0.28851496
0.018,0.00000001,-449.8376069,0.2760524
0.02,0.00000006,-454.82077865,0.26207402
0.022,0.00000012,-459.80605016,0.24653817
0.024,0.00000014,-464.79347237,0.22944599
0.026,0.00000011,-469.78287544,0.21084119
0.028,0.0000003,-474.77395117,0.19080753
0.03,0.00000107,-479.76633375,0.16946487
0.032,0.00000247,-484.75964962,0.14696576
0.034,0.00000664,-489.75353601,0.12349132
0.036,0.00002695,-494.74763085,0.09924759
0.038,0.00010359,-499.74153826,0.07446198
0.04,0.00034403,-504.7347666,0.04937827
0.042,0.00109135,-509.72662319,0.02425066
0.044,0.00339547,-514.71603496,-0.00066442
0.046,0.00979653,-519.70124009,-0.02511787
0.048,0.02499168,-524.67924729,-0.04887641
0.05,0.05560933,-529.64491225,-0.07172913
0.052,0.10842381,-534.58942247,-0.09349168
0.054,0.18730092,-539.49785441,-0.11400643
0.056,0.29068463,-544.3454763,-0.13313938
0.058,0.41136726,-549.09317704,-0.15077906
0.06,0.53825421,-553.68374148,-0.16683875
0.062,0.65904803,-558.04216467,-0.18126147
0.064,0.76342653,-562.08365058,-0.19402361
0.066,0.84576854,-565.7308354,-0.20513588
0.068,0.90571107,-568.93456923,-0.21464127
0.07,0.94635954,-571.68660361,-0.22260955
0.072,0.9720511,-574.01651628,-0.22913068
0.074,0.98704178,-575.97750689,-0.2343086
0.076,0.99496141,-577.63189102,-0.23825668
0.078,0.99857978,-579.04089309,-0.24109587
0.08,0.99976593,-580.25894286,-0.242954
