inSimTime,inFidelity,trLaserOutputY,trLaserOutputX
0,0.00002421,-109.99999942,-0.49806723
0.002,0.00002421,-119.99999884,-0.49647136
0.004,0.00001205,-129.99999558,-0.49438224
0.006,0.00000911,-139.9999879,-0.49223049
0.008,0.00000715,-149.9999698,-0.48984817
0.01,0.00000578,-159.99992717,-0.48728187
0.012,0.0000048,-169.99982653,-0.48445713
0.014,0.00000407,-179.99958862,-0.48132768
0.016,0.00000352,-189.99902542,-0.47781904
0.018,0.0000031,-199.99769369,-0.47385733
0.02,0.0000028,-209.99456485,-0.46935194
0.022,0.00000254,-219.98732344,-0.46419757
0.024,0.00000224,-229.97097734,-0.45828023
0.026,0.00000188,-239.93545248,-0.45147832
0.028,0.00000149,-249.86220247,-0.44367212
0.03,0.00000108,-259.72112641,-0.43474678
0.032,0.00000079,-269.47060186,-0.42460479
0.034,0.00000089,-279.0646665,-0.4131682
0.036,0.00000184,-288.46339328,-0.40039602
0.038,0.00000446,-297.63851098,-0.38628526
0.04,0.00000983,-306.56579798,-0.37088417
0.042,0.00001888,-315.20946472,-0.35426392
0.044,0.00003183,-323.5020087,-0.33652856
0.046,0.00004808,-331.36979264,-0.31776833
0.048,0.00006656,-338.76555406,-0.2980672
0.05,0.00008634,-345.69622662,-0.27749183
0.052,0.00010713,-352.23591005,-0.25608519
0.054,0.00012979,-358.46473144,-0.2338928
0.056,0.00015643,-364.36784481,-0.21098146
0.058,0.00019056,-369.76181916,-0.18747414
0.06,0.00023576,-374.27687003,-0.16354642
0.062,0.00029028,-377.41719508,-0.13941126
0.064,0.00033869,-378.79784202,-0.1152888
0.066,0.00034305,-378.4277874,-0.09139028
0.068,0.00025392,-376.67379562,-0.06787641
0.07,0.00007805,-373.97331964,-0.04484915
0.072,0.00002506,-370.65687891,-0.02239341
0.074,0.00069381,-366.98894059,-0.00055024
0.076,0.00320718,-363.06608918,0.02061957
0.078,0.00916761,-358.87403802,0.04106575
0.08,0.02043513,-354.37512067,0.06072491
0.082,0.03895811,-349.59707273,0.07954296
0.084,0.06673003,-344.6236059,0.09747916
0.086,0.10565642,-339.5119483,0.11448105
0.088,0.15714851,-334.32931426,0.13051563
0.09,0.22153027,-329.19301059,0.14556494
0.092,0.29762013,-324.24697796,0.15963274
0.094,0.38263696,-319.63499629,0.17276346
0.096,0.47239043,-315.455332,0.18500347
0.098,0.56193109,-311.70170662,0.1963767
0.1,0.64645411,-308.28698412,0.20688218
0.102,0.72204652,-305.11848575,0.21650131
0.104,0.78619219,-302.16523781,0.22522431
0.106,0.83806248,-299.43819944,0.23304497
0.108,0.87846541,-296.99547142,0.23998045
0.11,0.90926462,-294.90200006,0.24608534
0.112,0.93259992,-293.19233478,0.251441
0.114,0.9503133,-291.83380453,0.25612459
0.116,0.96375076,-290.76973885,0.26021661
0.118,0.97382708,-289.9154256,0.26377276
0.12,0.98119221,-289.21225848,0.26683756
0.122,0.98632975,-288.5966075,0.26940544
0.124,0.98965018,-288.04593813,0.27147191
0.126,0.99154157,-287.56364691,0.2730193
0.128,0.99236496,-287.14910971,0.27402607
